PrsID,PrsLabel,BYear,BLocLabel,BLocUID,BLocTGNID,BLocLat,BLocLang,DYear,DLocLabel,DLocUID,DLocTGNID,DLocLat,DLocLang,Sex,AppliedArts,Architecture,FineArts,PerformingArts,Print&Graphics,Academic,Other,,,,,
500280655,Alexander the Great,-356,Pella ,4181450026,7011026,40.76,22.519167,-323,Babylonia ,3240030008,7013255,33.240526,43.68985,M,0,0,0,0,0,0,1,,,,,
500123491,Euphranor,-400,Kirás Vrísi ,4181300070,5004291,37.917508,23.006031,-315,Athens ,4181000086,7001393,37.983333,23.733333,M,0,0,1,0,0,1,1,,,,,
500258979,Epicurus,-341,Sámos ,4181540003,1042201,37.757222,26.976944,-270,Athens ,4181000086,7001393,37.983333,23.733333,M,0,0,0,0,0,1,1,,,,,
500077373,"Caesar, Julius",-110,Rome ,4243510165,7000874,41.9,12.483333,-44,Romenay ,4151510128,1035130,46.5,5.05,M,0,0,0,0,0,0,1,,,,,
500242756,Cicero,-106,Arpino ,4243000267,7006688,41.65,13.6,-43,Formia ,4243150151,7006711,41.25,13.616667,M,0,0,0,0,0,1,1,,,,,
500056228,Philodemus,-110,Syria ,3543000000,1000140,35,38,-35,Resina ,4243510050,7031897,40.8,14.35,M,0,0,0,0,0,1,1,,,,,
500058949,"Augustus, Emperor of Rome",-63,Rome ,4243510165,7000874,41.9,12.483333,14,Nola ,4243390057,7004644,40.916667,14.55,M,0,0,0,0,0,0,1,,,,,
500246979,Ovid,-43,Sulmona ,4243540793,7004202,42.05,13.916667,19,Constan?a ,4511060042,7004050,44.2,28.6667,M,0,0,0,0,0,0,1,,,,,
500115693,"Tiberius, Emperor of Rome",-42,Rome ,4243510165,7000874,41.9,12.483333,37,Miseno ,4243360299,7010130,40.783333,14.083333,M,0,0,0,0,0,0,1,,,,,
500115695,"Claudius, Emperor of Rome",-10,Lyon ,4151330592,7008772,45.7667,4.8333,54,Rome ,4243510165,7000874,41.9,12.483333,M,0,0,0,0,0,0,1,,,,,
500115696,"Nero, Emperor of Rome",37,Anzio ,4243000198,7015535,41.45,12.616667,68,Rome ,4243510165,7000874,41.9,12.483333,M,0,0,0,0,0,0,1,,,,,
500083758,"Domitian, Emperor of Rome",51,Rome ,4243510165,7000874,41.9,12.483333,96,Rome ,4243510165,7000874,41.9,12.483333,M,0,0,0,0,0,0,1,,,,,
